SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,AODV,0.01
1,0,0,10,AODV,0.01
2,0,0,10,AODV,0.01
3,0,0,10,AODV,0.01
4,0,0,10,AODV,0.01
5,0,0,10,AODV,0.01
6,0,0,10,AODV,0.01
7,0,0,10,AODV,0.01
8,0,0,10,AODV,0.01
9,0,0,10,AODV,0.01
10,0,0,10,AODV,0.01
11,0,0,10,AODV,0.01
12,0,0,10,AODV,0.01
13,0,0,10,AODV,0.01
14,0,0,10,AODV,0.01
15,0,0,10,AODV,0.01
16,0,0,10,AODV,0.01
17,1.024,2,10,AODV,0.01
18,2.048,4,10,AODV,0.01
19,5.12,10,10,AODV,0.01
20,9.216,18,10,AODV,0.01
21,10.24,20,10,AODV,0.01
22,10.24,20,10,AODV,0.01
23,11.776,23,10,AODV,0.01
24,12.288,24,10,AODV,0.01
25,12.288,24,10,AODV,0.01
26,12.288,24,10,AODV,0.01
27,15.36,30,10,AODV,0.01
28,16.384,32,10,AODV,0.01
29,16.896,33,10,AODV,0.01
30,18.432,36,10,AODV,0.01
31,0,0,10,AODV,0.01
32,0,0,10,AODV,0.01
33,0,0,10,AODV,0.01
34,0,0,10,AODV,0.01
35,0,0,10,AODV,0.01
