SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,OLSR,0.01
1,0,0,10,OLSR,0.01
2,0,0,10,OLSR,0.01
3,0,0,10,OLSR,0.01
4,0,0,10,OLSR,0.01
5,0,0,10,OLSR,0.01
6,0,0,10,OLSR,0.01
7,0,0,10,OLSR,0.01
8,0,0,10,OLSR,0.01
9,0,0,10,OLSR,0.01
10,0,0,10,OLSR,0.01
11,0,0,10,OLSR,0.01
12,0,0,10,OLSR,0.01
13,0,0,10,OLSR,0.01
14,0,0,10,OLSR,0.01
15,0,0,10,OLSR,0.01
16,2.048,4,10,OLSR,0.01
17,4.096,8,10,OLSR,0.01
18,4.096,8,10,OLSR,0.01
19,5.632,11,10,OLSR,0.01
20,6.144,12,10,OLSR,0.01
21,6.144,12,10,OLSR,0.01
22,6.144,12,10,OLSR,0.01
23,7.68,15,10,OLSR,0.01
24,8.192,16,10,OLSR,0.01
25,8.192,16,10,OLSR,0.01
26,8.192,16,10,OLSR,0.01
27,8.192,16,10,OLSR,0.01
28,8.192,16,10,OLSR,0.01
29,8.704,17,10,OLSR,0.01
30,11.776,23,10,OLSR,0.01
31,0,0,10,OLSR,0.01
32,0,0,10,OLSR,0.01
33,0,0,10,OLSR,0.01
