SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,SAHARA,0.01
1,0,0,10,SAHARA,0.01
2,0,0,10,SAHARA,0.01
3,0,0,10,SAHARA,0.01
4,0,0,10,SAHARA,0.01
5,0,0,10,SAHARA,0.01
6,0,0,10,SAHARA,0.01
7,0,0,10,SAHARA,0.01
8,0,0,10,SAHARA,0.01
9,0,0,10,SAHARA,0.01
10,0,0,10,SAHARA,0.01
11,0,0,10,SAHARA,0.01
12,0,0,10,SAHARA,0.01
13,0,0,10,SAHARA,0.01
14,0,0,10,SAHARA,0.01
15,0,0,10,SAHARA,0.01
16,2.048,4,10,SAHARA,0.01
17,4.096,8,10,SAHARA,0.01
18,4.096,8,10,SAHARA,0.01
19,8.704,17,10,SAHARA,0.01
20,10.24,20,10,SAHARA,0.01
21,12.288,24,10,SAHARA,0.01
22,12.288,24,10,SAHARA,0.01
23,13.824,27,10,SAHARA,0.01
24,14.336,28,10,SAHARA,0.01
25,14.336,28,10,SAHARA,0.01
26,14.848,29,10,SAHARA,0.01
27,16.896,33,10,SAHARA,0.01
28,18.432,36,10,SAHARA,0.01
29,18.944,37,10,SAHARA,0.01
30,20.48,40,10,SAHARA,0.01
31,0,0,10,SAHARA,0.01
32,0,0,10,SAHARA,0.01
33,0,0,10,SAHARA,0.01
34,0,0,10,SAHARA,0.01
