SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,10,OLSR,0.01
1,0,0,10,OLSR,0.01
2,0,0,10,OLSR,0.01
3,0,0,10,OLSR,0.01
4,0,0,10,OLSR,0.01
5,0,0,10,OLSR,0.01
6,0,0,10,OLSR,0.01
7,0,0,10,OLSR,0.01
8,0,0,10,OLSR,0.01
9,0,0,10,OLSR,0.01
10,0,0,10,OLSR,0.01
11,0,0,10,OLSR,0.01
12,0,0,10,OLSR,0.01
13,0,0,10,OLSR,0.01
14,0,0,10,OLSR,0.01
15,0,0,10,OLSR,0.01
16,4.096,8,10,OLSR,0.01
17,15.872,31,10,OLSR,0.01
18,20.48,40,10,OLSR,0.01
19,20.48,40,10,OLSR,0.01
20,20.48,40,10,OLSR,0.01
21,20.48,40,10,OLSR,0.01
22,20.48,40,10,OLSR,0.01
23,20.48,40,10,OLSR,0.01
24,20.48,40,10,OLSR,0.01
25,20.48,40,10,OLSR,0.01
26,20.48,40,10,OLSR,0.01
27,20.48,40,10,OLSR,0.01
28,20.48,40,10,OLSR,0.01
29,20.48,40,10,OLSR,0.01
30,20.48,40,10,OLSR,0.01
31,0.512,1,10,OLSR,0.01
